	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
726	2.0	1224.0		1236.0		135625.0		712.0			724.0			726.0	
727	2.0	1224.0		1236.0		135625.0		712.0			724.0			727.0	
728	2.0	1224.0		1236.0		135625.0		712.0			292486.0			728.0	
729	2.0	1224.0		1236.0		135625.0		712.0			724.0			729.0	
730	2.0	1224.0		1236.0		135625.0		712.0			724.0			730.0	
731	2.0	1224.0		1236.0		135625.0		712.0			214906.0			731.0	
732	2.0	1224.0		1236.0		135625.0		712.0			416916.0			732.0	
733	2.0	1224.0		1236.0		135625.0		712.0			724.0			733.0	
734	2.0	1224.0		1236.0		135625.0		712.0			724.0			734.0	
735	2.0	1224.0		1236.0		135625.0		712.0			724.0			735.0	
736	2.0	1224.0		1236.0		135625.0		712.0			724.0			736.0	
738	2.0	1224.0		1236.0		135625.0		712.0			2094023.0			738.0	
739	2.0	1224.0		1236.0		135625.0		712.0			416916.0			739.0	
747	2.0	1224.0		1236.0		135625.0		712.0			745.0			747.0	
750	2.0	1224.0		1236.0		135625.0		712.0			155493.0			750.0	
752	2.0	1224.0		1236.0		135625.0		712.0			745.0			752.0	
754	2.0	1224.0		1236.0		135625.0		712.0			745.0			754.0	
758	2.0	1224.0		1236.0		135625.0		712.0			1960084.0			758.0	
769	2.0	1224.0		28211.0		766.0		942.0			768.0			769.0	
770	2.0	1224.0		28211.0		766.0		942.0			768.0			770.0	
774	2.0	1224.0		28211.0		356.0		772.0			773.0			774.0	
777	2.0	1224.0		1236.0		118969.0		118968.0			776.0			777.0	
779	2.0	1224.0		28211.0		766.0		942.0			943.0		106178.0	779.0	
781	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114277.0	781.0	
782	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114292.0	782.0	
783	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114277.0	783.0	
784	2.0	1224.0		28211.0		766.0		775.0		33988.0	69474.0			784.0	
785	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114292.0	785.0	
786	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114277.0	786.0	
787	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		114277.0	787.0	
788	2.0	1224.0		28211.0		766.0		775.0		33988.0	780.0		1129742.0	788.0	
803	2.0	1224.0		28211.0		356.0		772.0			773.0			803.0	
807	2.0	1224.0		28211.0		356.0		772.0			773.0			807.0	
813	2.0	204428.0		204429.0		51291.0		809.0			810.0			813.0	
817	2.0	976.0		200643.0		171549.0		815.0			816.0			817.0	
818	2.0	976.0		200643.0		171549.0		815.0			816.0			818.0	
820	2.0	976.0		200643.0		171549.0		815.0			816.0			820.0	
821	2.0	976.0		200643.0		171549.0		815.0			816.0			821.0	
823	2.0	976.0		200643.0		171549.0		2005525.0			375288.0			823.0	
824	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			824.0	
826	2.0	32066.0		203490.0		203491.0		1129771.0			32068.0			826.0	
827	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			827.0	
831	2.0	1239.0		186801.0		186802.0		186803.0			830.0			831.0	
833	2.0	65842.0		204430.0		218872.0		204431.0			832.0			833.0	
837	2.0	976.0		200643.0		171549.0		171551.0			836.0			837.0	
839	2.0	976.0		200643.0		171549.0		171552.0			838.0			839.0	
840	2.0	976.0		200643.0		171549.0		171552.0			838.0			840.0	
844	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			843.0			844.0	
847	2.0	1224.0		28216.0		80840.0		75682.0			846.0			847.0	
849	2.0	32066.0		203490.0		203491.0		203492.0			848.0			849.0	
850	2.0	32066.0		203490.0		203491.0		203492.0			848.0			850.0	
851	2.0	32066.0		203490.0		203491.0		203492.0			848.0			851.0	
852	2.0	32066.0		203490.0		203491.0		203492.0			848.0			852.0	
853	2.0	1239.0		186801.0		186802.0		541000.0			216851.0			853.0	
854	2.0	32066.0		203490.0		203491.0		203492.0			848.0			854.0	
856	2.0	32066.0		203490.0		203491.0		203492.0			848.0			856.0	
859	2.0	32066.0		203490.0		203491.0		203492.0			848.0			859.0	
860	2.0	32066.0		203490.0		203491.0		203492.0			848.0			860.0	
861	2.0	32066.0		203490.0		203491.0		203492.0			848.0			861.0	
863	2.0	1239.0		186801.0		186802.0		68298.0			862.0			863.0	
870	2.0	1224.0		1236.0		135615.0		868.0			869.0			870.0	
873	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			873.0	
876	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			876.0	
878	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			878.0	
879	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			879.0	
880	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			880.0	
881	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			881.0	
886	2.0	200940.0		67799.0		188710.0		188711.0			1740.0			886.0	
889	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			889.0	
891	2.0	1224.0	68525.0	28221.0		69541.0		213421.0			890.0			891.0	
894	2.0	1224.0	68525.0	28221.0		213118.0		213121.0			893.0			894.0	
897	2.0	1224.0	68525.0	28221.0		213118.0		213119.0			896.0			897.0	
899	2.0	1224.0	68525.0	28221.0		213115.0		213116.0			898.0			899.0	
901	2.0	1224.0	68525.0	28221.0		213115.0		194924.0			872.0			901.0	
905	2.0	1239.0		909932.0		1843488.0		909930.0			904.0			905.0	
