	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
1214242	Bacteria			Actinobacteria		Actinobacteria		Streptomycetales		Streptomycetaceae			Streptomyces			Streptomyces collinus			
1214459	Viruses							Tymovirales		Alphaflexiviridae			Mandarivirus			Citrus yellow vein clearing virus			
1214564	Bacteria			Firmicutes		Clostridia		Thermoanaerobacterales		Thermoanaerobacterales Family III. Incertae Sedis			Caldicellulosiruptor			Caldicellulosiruptor sp. F32			
1214568	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe amygdali			
1214570	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe cotoneastri			
1214571	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe cuppatea			
1214573	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe ampelina			
1214576	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe pterocarpicola			
1214577	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe sclerotioides			
1214579	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Diaporthaceae			Diaporthe			Diaporthe thunbergii			
1214905	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Auriculariales		Aporpiaceae			Aporpium			Aporpium macroporum			
1214955	Viruses									Anelloviridae			Gyrovirus			Gyrovirus 4			
