	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
1743142	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus sp. FJAT-26390	
1743143	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus wudalianchiensis	
1743144	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus sp. FJAT-27225	
1743146	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus sp. FJAT-27986	
1743157	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Polynucleobacter			Polynucleobacter sinensis	
1743159	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Polynucleobacter			Polynucleobacter yangtzensis	
1743167	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Polynucleobacter			Polynucleobacter sp. QLW-P1DATA-2	
1743168	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Polynucleobacter			Polynucleobacter wuianus	
1743169	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Polynucleobacter			Polynucleobacter sphagniphilus	
1745182	Bacteria	Proteobacteria		Alphaproteobacteria		Rhodobacterales		Rhodobacteraceae			Paracoccus			Paracoccus sp. MKU1	
1745378	Bacteria	Actinobacteria		Actinobacteria		Micrococcales		Micrococcaceae			Arthrobacter			Arthrobacter sp. EPSL27	
1745380	Bacteria	Actinobacteria		Actinobacteria		Frankiales		Frankiaceae			Frankia			Frankia sp. CcI156	
1745381	Bacteria	Actinobacteria		Actinobacteria		Frankiales		Frankiaceae			Frankia			Frankia sp. CgIS1	
1745382	Bacteria	Actinobacteria		Actinobacteria		Frankiales		Frankiaceae			Frankia			Frankia sp. CcI49	
1745712	Bacteria	Firmicutes		Tissierellia		Tissierellales		Peptoniphilaceae			Anaerococcus			Anaerococcus sp. Marseille-P2143	
1745713	Bacteria	Firmicutes		Clostridia		Clostridiales		Lachnospiraceae			Bariatricus			Bariatricus massiliensis	
1746199	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Alcaligenaceae			Bordetella			Bordetella sp. N	
1747196	Bacteria	Cyanobacteria				Nostocales		Aphanizomenonaceae			Cylindrospermopsis			Cylindrospermopsis sp. CR12	
1747766	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Mycobacteriaceae			Mycobacterium			Mycobacterium sp. NAZ190054	
1747903	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Oxalobacteraceae			Janthinobacterium			Janthinobacterium sp. S3-2	
1749078	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. EpS/L25	
1749259	Bacteria	Proteobacteria		Gammaproteobacteria		Alteromonadales		Alteromonadaceae			Marinobacter			Marinobacter sp. LQ44	
1750560	Bacteria	Bacteroidetes		Bacteroidia		Bacteroidales		Tannerellaceae			Parabacteroides			Parabacteroides sp. SN4	
1750561	Bacteria	Proteobacteria		Gammaproteobacteria		Legionellales		Legionellaceae			Legionella			Legionella saoudiensis	
1750590	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Cyclobacteriaceae			Algoriphagus			Algoriphagus resistens	
1750647	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. BTN1	
1750698	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Cytophagaceae			Arsenicibacter			Arsenicibacter rosenii	
1750719	Bacteria	Firmicutes		Bacilli		Bacillales		Planococcaceae			Kurthia			Kurthia sp. 11kri321	
1751286	Bacteria	Cyanobacteria				Nostocales		Nostocaceae			Nostoc			Nostoc sp. NIES-3756	
1751289	Bacteria	Cyanobacteria			Oscillatoriophycideae	Oscillatoriales								Oscillatoriales cyanobacterium MTP1	
1751294	Bacteria	Actinobacteria		Actinobacteria		Streptomycetales		Streptomycetaceae			Streptomyces			Streptomyces sp. 4F	
1751427	Bacteria	Bacteroidetes		Cytophagia		Cytophagales					Solirubrum			Solirubrum puertoriconensis	
1752063	Bacteria	Cyanobacteria				Nostocales		Hapalosiphonaceae			Fischerella			Fischerella sp. NIES-3754	
1752064	Bacteria	Cyanobacteria				Synechococcales		Leptolyngbyaceae			Leptolyngbya			Leptolyngbya sp. NIES-3755	
1752066	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Nocardiaceae			Rhodococcus			Rhodococcus sp. KB6	
1752398	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Ensifer			Ensifer alkalisoli	
1755099	Bacteria	Proteobacteria		Gammaproteobacteria		Enterobacterales		Enterobacteriaceae			Enterobacter			Enterobacter timonensis	
1755239	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Oxalobacteraceae			Janthinobacterium			Janthinobacterium sp. Ant5-2-1	
1755240	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Rhizobium			Rhizobium altiplani	
1755647	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Bradyrhizobiaceae			Bradyrhizobium			Bradyrhizobium sp. BR 10303	
1756148	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Elizabethkingia			Elizabethkingia miricola	
1756149	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Elizabethkingia			Elizabethkingia bruuniana	
1756150	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Elizabethkingia			Elizabethkingia ursingii	
1758177	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. BIOMIG1BDMA	
1758178	Bacteria	Proteobacteria		Alphaproteobacteria		Rhodobacterales		Rhodobacteraceae			Celeribacter			Celeribacter ethanolicus	
1758689	Bacteria	Actinobacteria		Actinobacteria		Micrococcales		Intrasporangiaceae			Serinicoccus			Serinicoccus sp. JLT9	
1758730	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. BIOMIG1BAC	
1758731	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. BIOMIG1BD	
1759059	Bacteria	Proteobacteria		Alphaproteobacteria		Caulobacterales		Caulobacteraceae						Caulobacteraceae bacterium OTSz_A_272	
1759064	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H005	
1759065	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H012	
1759066	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H038	
1759067	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H053	
1759068	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H077	
1759069	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H080	
1759070	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H085	
1759071	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H093	
1759072	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H050	
1759073	Bacteria	Proteobacteria		Alphaproteobacteria		Sphingomonadales		Sphingomonadaceae			Sphingopyxis			Sphingopyxis sp. H115	
